,id,GroupCount
593,3003,58
594,3004,58
595,3005,55
596,3006,54
597,3007,60
598,3008,61
599,3009,58
600,3010,58
601,3011,58
602,3012,57
603,3013,58
604,3014,52
605,3015,52
606,3016,52
607,3017,51
608,3018,51
609,3019,51
610,3020,51
611,3021,51
612,3022,58
613,3072,50
614,3073,50
615,3074,57
616,3075,56
617,3076,57
618,3077,57
619,3078,60
620,3079,50
621,3080,48
622,3081,59
623,3082,56
624,3083,55
625,3084,60
626,3085,60
627,3086,52
628,3087,61
629,3088,58
630,3089,57
631,3090,53
632,3091,53
633,3092,52
634,3093,52
635,3094,52
636,3095,52
637,3096,49
638,3097,50
639,3098,51
640,3099,51
641,3100,58
642,3103,14
643,3104,56
644,3105,56
645,3148,51
646,3149,51
647,3150,52
648,3151,47
649,3152,47
650,3153,49
651,3154,48
652,3155,49
653,3156,49
654,3157,48
655,3158,49
656,3159,58
657,3160,56
658,3161,63
659,3162,63
660,3163,63
661,3164,53
662,3165,61
663,3166,60
664,3167,57
665,3168,54
666,3169,53
667,3170,54
668,3171,52
669,3172,52
670,3173,50
671,3174,52
672,3175,51
673,3176,49
674,3177,49
675,3178,51
676,3179,58
677,3180,58
678,3181,54
679,3182,58
680,3183,57
681,3184,58
682,3224,51
683,3225,52
684,3226,52
685,3227,46
686,3228,47
687,3229,48
688,3230,47
689,3231,48
690,3232,48
691,3233,49
692,3234,48
693,3235,48
694,3236,60
695,3237,64
696,3238,63
697,3239,63
698,3240,53
699,3241,53
700,3242,59
701,3243,60
702,3244,59
703,3245,53
704,3246,50
705,3247,51
706,3248,52
707,3249,52
708,3250,50
709,3251,50
710,3252,52
711,3253,51
712,3254,51
713,3255,49
714,3256,51
715,3257,59
716,3258,58
717,3259,58
718,3260,58
719,3261,59
720,3301,52
721,3302,52
722,3303,53
723,3304,48
724,3305,49
725,3306,46
726,3307,47
727,3308,47
728,3309,47
729,3310,48
730,3311,49
731,3312,49
732,3313,51
733,3314,59
734,3315,63
735,3316,56
736,3317,54
737,3318,53
738,3319,53
739,3320,57
740,3321,59
741,3322,53
742,3323,52
743,3324,51
744,3325,50
745,3326,52
746,3327,52
747,3328,50
748,3329,49
749,3330,52
750,3331,50
751,3332,51
752,3333,51
753,3334,49
754,3335,52
755,3336,53
756,3337,58
757,3338,59
758,3339,53
759,3340,58
760,3377,52
761,3378,52
762,3379,53
763,3380,48
764,3381,47
765,3382,47
766,3383,48
767,3384,47
768,3385,47
769,3386,47
770,3387,47
771,3388,49
772,3389,49
773,3390,53
774,3391,50
775,3392,58
776,3393,65
777,3394,55
778,3395,56
779,3396,54
780,3397,61
781,3398,54
782,3399,53
783,3400,52
784,3401,52
785,3402,50
786,3403,50
787,3404,50
788,3405,52
789,3406,49
790,3407,51
791,3408,53
792,3409,51
793,3410,51
794,3411,52
795,3412,51
796,3413,51
797,3414,50
798,3415,58
799,3416,59
800,3417,59
801,3418,14
802,3454,52
803,3455,53
804,3456,49
805,3457,49
806,3458,48
807,3459,47
808,3460,48
809,3461,46
810,3462,47
811,3463,47
812,3464,47
813,3465,47
814,3466,48
815,3467,51
816,3468,51
817,3469,51
818,3470,58
819,3471,64
820,3472,67
821,3473,55
822,3474,57
823,3475,56
824,3476,55
825,3477,53
826,3478,52
827,3479,52
828,3480,52
829,3481,52
830,3482,53
831,3483,53
832,3484,52
833,3485,52
834,3486,53
835,3487,50
836,3488,51
837,3489,49
838,3490,49
839,3491,49
840,3492,51
841,3493,50
842,3494,57
843,3495,58
844,3496,58
845,3530,52
846,3531,52
847,3532,49
848,3533,50
849,3534,50
850,3535,48
851,3536,47
852,3537,47
853,3538,47
854,3539,47
855,3540,47
856,3541,52
857,3542,52
858,3543,54
859,3544,54
860,3545,58
861,3546,59
862,3547,58
863,3548,66
864,3549,61
865,3550,65
866,3551,54
867,3552,56
868,3553,55
869,3554,54
870,3555,52
871,3556,52
872,3557,52
873,3558,52
874,3559,53
875,3560,53
876,3561,53
877,3562,53
878,3563,52
879,3564,51
880,3565,51
881,3566,51
882,3567,51
883,3568,51
884,3569,51
885,3570,51
886,3571,59
887,3572,51
888,3573,58
889,3607,52
890,3608,52
891,3609,50
892,3610,49
893,3611,48
894,3612,48
895,3613,47
896,3614,47
897,3615,47
898,3616,47
899,3617,47
900,3618,47
901,3619,54
902,3620,51
903,3621,53
904,3622,56
905,3624,67
906,3625,69
907,3626,68
908,3627,69
909,3628,64
910,3629,55
911,3630,54
912,3631,55
913,3632,56
914,3633,54
915,3634,52
916,3635,52
917,3636,52
918,3637,53
919,3638,51
920,3639,52
921,3640,52
922,3641,52
923,3642,51
924,3643,51
925,3644,51
926,3645,51
927,3646,51
928,3647,51
929,3648,51
930,3649,51
931,3650,51
932,3651,58
933,3683,52
934,3684,52
935,3685,47
936,3686,48
937,3687,49
938,3688,49
939,3689,47
940,3690,47
941,3691,48
942,3692,48
943,3693,46
944,3694,48
945,3695,53
946,3696,53
947,3697,54
948,3698,58
949,3699,71
950,3700,66
951,3701,68
952,3702,58
953,3703,59
954,3704,57
955,3705,55
956,3706,60
957,3707,58
958,3708,56
959,3709,55
960,3710,55
961,3711,56
962,3712,55
963,3713,52
964,3714,54
965,3715,53
966,3716,50
967,3717,50
968,3718,52
969,3719,52
970,3720,52
971,3721,52
972,3722,49
973,3723,51
974,3724,51
975,3725,51
976,3726,51
977,3727,51
978,3728,52
979,3729,58
980,3760,52
981,3761,53
982,3762,48
983,3763,48
984,3764,50
985,3765,48
986,3766,48
987,3767,48
988,3768,48
989,3769,47
990,3770,46
991,3771,46
992,3772,53
993,3773,53
994,3774,57
995,3775,55
996,3776,52
997,3777,66
998,3778,56
999,3779,62
1000,3780,59
1001,3781,58
1002,3782,58
1003,3783,58
1004,3784,58
1005,3785,56
1006,3786,59
1007,3787,55
1008,3788,55
1009,3789,55
1010,3790,54
1011,3791,55
1012,3792,51
1013,3793,50
1014,3794,54
1015,3795,50
1016,3796,52
1017,3797,53
1018,3798,49
1019,3799,51
1020,3800,51
1021,3801,49
1022,3802,51
1023,3803,51
1024,3804,51
1025,3805,51
1026,3806,56
1027,3807,58
1028,3834,52
1029,3835,52
1030,3836,52
1031,3837,52
1032,3838,50
1033,3839,49
1034,3840,48
1035,3841,49
1036,3842,49
1037,3843,49
1038,3844,49
1039,3845,49
1040,3846,47
1041,3847,47
1042,3848,52
1043,3849,53
1044,3850,55
1045,3851,56
1046,3852,51
1047,3853,50
1048,3854,54
1049,3855,65
1050,3856,56
1051,3857,58
1052,3858,61
1053,3859,57
1054,3860,58
1055,3861,60
1056,3862,57
1057,3863,57
1058,3864,55
1059,3865,55
1060,3866,55
1061,3867,54
1062,3868,54
1063,3869,53
1064,3870,52
1065,3871,50
1066,3872,50
1067,3873,52
1068,3874,51
1069,3875,50
1070,3876,52
1071,3877,52
1072,3878,52
1073,3879,49
1074,3880,51
1075,3881,51
1076,3882,51
1077,3883,58
1078,3884,58
1079,3885,58
1080,3911,52
1081,3912,53
1082,3913,47
1083,3914,47
1084,3915,49
1085,3916,50
1086,3917,48
1087,3918,48
1088,3919,50
1089,3920,49
1090,3921,49
1091,3922,49
1092,3923,50
1093,3924,55
1094,3925,53
1095,3926,53
1096,3927,53
1097,3928,56
1098,3929,51
1099,3930,50
1100,3931,50
1101,3932,53
1102,3933,52
1103,3934,63
1104,3935,58
1105,3936,57
1106,3937,59
1107,3938,60
1108,3939,62
1109,3940,63
1110,3941,55
1111,3942,56
1112,3943,56
1113,3944,54
1114,3945,54
1115,3946,54
1116,3947,54
1117,3948,55
1118,3949,50
1119,3950,50
1120,3951,50
1121,3952,50
1122,3953,52
1123,3954,52
1124,3955,52
1125,3956,51
1126,3957,51
1127,3958,50
1128,3959,51
1129,3960,51
1130,3961,58
1131,3962,58
1132,3963,58
1133,3967,53
1134,3968,53
1135,3969,51
1136,3987,52
1137,3988,52
1138,3989,47
1139,3990,47
1140,3991,48
1141,3992,52
1142,3993,52
1143,3994,53
1144,3995,52
1145,3996,52
1146,3997,53
1147,3998,52
1148,3999,50
1149,4000,50
1150,4001,53
1151,4002,53
1152,4003,55
1153,4004,54
1154,4005,55
1155,4006,50
1156,4007,50
1157,4008,48
1158,4009,49
1159,4010,52
1160,4011,49
1161,4012,63
1162,4013,59
1163,4014,56
1164,4015,62
1165,4016,61
1166,4017,58
1167,4018,59
1168,4019,56
1169,4020,54
1170,4021,55
1171,4022,58
1172,4023,55
1173,4024,54
1174,4025,49
1175,4026,50
1176,4027,50
1177,4028,50
1178,4029,52
1179,4030,50
1180,4031,52
1181,4032,53
1182,4033,50
1183,4034,51
1184,4035,52
1185,4036,51
1186,4037,59
1187,4038,52
1188,4039,58
1189,4040,59
1190,4041,54
1191,4044,53
1192,4045,48
1193,4046,48
1194,4064,52
1195,4065,52
1196,4066,49
1197,4067,49
1198,4068,48
1199,4069,54
1200,4070,52
1201,4071,52
1202,4072,54
1203,4073,51
1204,4074,51
1205,4075,53
1206,4076,52
1207,4077,52
1208,4078,55
1209,4079,53
1210,4080,51
1211,4081,52
1212,4082,54
1213,4083,51
1214,4084,48
1215,4085,46
1216,4086,51
1217,4087,49
1218,4088,48
1219,4089,48
1220,4090,50
1221,4091,63
1222,4092,57
1223,4093,56
1224,4094,56
1225,4095,59
1226,4096,57
1227,4097,59
1228,4098,59
1229,4099,55
1230,4100,56
1231,4101,55
1232,4102,55
1233,4103,55
1234,4104,52
1235,4105,50
1236,4106,52
1237,4107,52
1238,4108,52
1239,4109,52
1240,4110,50
1241,4111,52
1242,4112,52
1243,4113,52
1244,4114,58
1245,4115,58
1246,4116,56
1247,4117,58
1248,4118,56
1249,4119,57
1250,4122,53
1251,4123,48
1252,4124,47
1253,4139,51
1254,4140,51
1255,4141,52
1256,4142,51
1257,4143,48
1258,4144,54
1259,4145,53
1260,4146,53
1261,4147,48
1262,4148,49
1263,4149,49
1264,4150,49
1265,4151,48
1266,4152,48
1267,4153,50
1268,4154,49
1269,4155,52
1270,4156,52
1271,4157,52
1272,4158,53
1273,4159,55
1274,4160,48
1275,4161,48
1276,4162,47
1277,4163,46
1278,4164,51
1279,4165,50
1280,4166,50
1281,4167,48
1282,4168,50
1283,4169,52
1284,4170,58
1285,4171,59
1286,4172,58
1287,4173,57
1288,4174,57
1289,4175,59
1290,4176,58
1291,4177,56
1292,4178,55
1293,4179,55
1294,4180,56
1295,4181,53
1296,4182,51
1297,4183,51
1298,4184,52
1299,4185,52
1300,4186,52
1301,4187,52
1302,4188,52
1303,4189,50
1304,4190,51
1305,4191,58
1306,4192,58
1307,4193,58
1308,4194,59
1309,4195,58
1310,4199,53
1311,4200,48
1312,4201,47
1313,4214,49
1314,4215,51
1315,4216,52
1316,4217,51
1317,4218,49
1318,4219,48
1319,4220,52
1320,4221,48
1321,4222,50
1322,4223,54
1323,4224,50
1324,4225,48
1325,4226,48
1326,4227,49
1327,4228,49
1328,4229,51
1329,4230,50
1330,4231,48
